Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
EKINOPS;FR0011466069;EKI;"Euronext Paris";EUR;2.70;2.70;2.57;2.62;"15/05/2026 17:35";CET;104442;275250.115;2.62;15/05/2026
ELEC.STRASBOURG;FR0000031023;ELEC;"Euronext Paris";EUR;241.00;243.00;236.00;236.00;"15/05/2026 17:35";CET;1210;288617.00;236.00;15/05/2026
"ELECT. MADAGASCAR";FR0000035719;EEM;"Euronext Paris";EUR;2.00;2.00;2.00;2.00;"15/05/2026 17:26";CET;4695;9390.00;2.00;15/05/2026
"ELIOR GROUP";FR0011950732;ELIOR;"Euronext Paris";EUR;2.932;3.006;2.906;2.988;"15/05/2026 17:35";CET;980089;2902696.647;2.988;15/05/2026
ELIS;FR0012435121;ELIS;"Euronext Paris";EUR;27.34;27.46;26.84;27.06;"15/05/2026 17:35";CET;371841;10085776.76;27.06;15/05/2026
ELIX;ES0105726006;MLERH;"Euronext Access Paris";EUR;2.00;2.00;2.00;2.00;"23/01/2025 12:13";CET;1;2.00;2.00;15/05/2026
EMBENTION;ES0105639001;MLUAV;"Euronext Access Paris";EUR;38.00;38.00;38.00;38.00;"13/05/2026 16:30";CET;68;2584.00;38.00;15/05/2026
EMEIS;FR001400NLM4;EMEIS;"Euronext Paris";EUR;15.18;15.38;15.00;15.14;"15/05/2026 17:35";CET;260628;3959466.82;15.14;15/05/2026
"EMOVA GROUP";FR0013356755;ALEMV;"Euronext Growth Paris";EUR;0.695;0.695;0.655;0.69;"15/05/2026 16:09";CET;615;404.30;0.69;15/05/2026
"ENCRES DUBUIT";FR0004030708;ALDUB;"Euronext Growth Paris";EUR;1.98;2.08;1.97;2.08;"15/05/2026 16:24";CET;501;1011.12;2.08;15/05/2026
