ticker,Company,Country
LEG.F,LEG IMMOBILIEN SE,DE
LEI.F,LEIFHEIT AG O.N.,DE
TGHN.F,LOGWIN AG NAM. O.N.,LU
LPK.F,LPKF LASER+ELECTRONICS SE,DE
ECK.F,LUDW.BECK A.RATHAUSECK,DE
LHA.F,LUFTHANSA AG VNA O.N.,DE
MZX.F,MASTERFLEX O.N.,DE
MXHN.F,MAX AUTOMATION SE NA O.N.,DE
MBB.F,MBB SE O.N.,DE
MED.F,MEDICLIN AG,DE
ILM1.F,MEDIOS AG  O.N.,DE
MBG.F,MERCEDES BENZ GROUP AG,DE
MRK.F,MERCK KGAA O.N.,DE
MRX.F,MISTER SPEX SE,DE
MLP.F,MLP SE  INH. O.N.,DE
MTX.F,MTU AERO ENGINES NA O.N.,DE
MUV2.F,MUENCH.RUECKVERSICHERUNGS GESELLSCHAFT.VNA O.N.,DE
MULT.F,Multitude AG,CH
MUX.F,MUTARES KGAA  NA O.N.,DE
MVV1.F,MVV ENERGIE AG NA O.N.,DE
NA9.F,NAGARRO SE  NA O.N.,DE
NEM.F,NEMETSCHEK SE O.N.,DE
NXU.F,NEXUS AG O.N.,DE
NFN.F,NFON AG  INH O.N.,DE
NDX1.F,NORDEX SE O.N.,DE
NOEJ.F,NORMA GROUP SE NA O.N.,DE
NVM.F,NOVEM GROUP S.A.,LU
OHB.F,OHB SE   O.N.,DE
OBCK.F,Ottobock SE & Co. KGaA,DE
O4B.F,OVB HOLDING AG,DE
PGN.F,PARAGON KGAA  INH O.N.,DE
PAT.F,PATRIZIA SE NA ON,DE
PTP.F,Pentixapharm Holding AG,DE
PNE3.F,PNE AG  NA O.N.,DE
P911.F,Porsche AG Vz,DE
PCZ.F,PROCREDIT HOLDING AG NA EO 5,DE
PSM.F,PROSIEBENSAT.1 MEDIA SE  NA O.N.,DE
PSAN.F,PSI SOFTWARE SE,DE
PUM.F,PUMA SE,DE
TPE.F,PVA TEPLA AG O.N.,DE
PWO.F,PWO AG,DE
QSC.F,Q.BEYOND AG NA O.N.,DE
QIA.F,"QIAGEN NV         EO -,01",NL
RSL2.F,R. STAHL AG NA O.N.,DE
RAA.F,RATIONAL AG,DE
RDC.F,REDCARE PHARMACY N.V.,NL
R3NK.F,RENK GROUP AG,DE
RHM.F,RHEINMETALL AG,DE
RHK.F,RHOEN-KLINIKUM O.N.,DE
RRTL.F,RTL GROUP,LU
RWE.F,RWE AG   INH O.N.,DE
SFQ.F,SAF HOLLAND SE  INH EO 1,DE
SZG.F,SALZGITTER AG O.N.,DE
SAP.F,SAP SE O.N.,DE
SRT.F,SARTORIUS AG O.N.,DE
SRT3.F,SARTORIUS AG VZO O.N.,DE
SHA.F,SCHAEFFLER AG NA O.N.,DE
1SXP.F,SCHOTT Pharma AG & Co. KGaA ,DE
G24.F,SCOUT24 AG NA O.N.,DE
YSN.F,SECUNET SECURITY AG O.N.,DE
SJJ.F,SERVICEWARE SE  INH O.N.,DE
F3C.F,SFC ENERGY AG,DE
SGL.F,SGL CARBON SE O.N.,DE
SLYG.F,SHELLY GROUP SE,BG
SIE.F,SIEMENS AG  NA O.N.,DE
ENR.F,SIEMENS ENERGY AG NA O.N.,DE
SHL.F,SIEMENS HEALTH.AG NA O.N.,DE
WAF.F,SILTRONIC AG NA O.N.,DE
SNG.F,SINGULUS TECHNOL. EO 1,DE
SIX2.F,SIXT SE ST O.N.,DE
SIX3.F,SIXT SE VZO O.N.,DE
S92.F,SMA SOLAR TECHNOL.AG,DE
S188.F,SMT Scharf AG,DE
SHF.F,SNP SCHNEIDER-NEUREITHER O.N.,DE
SYT.F,SOFTING AG O.N.,DE
SPG.F,Springer Nature AG & Co. KGaA,DE
STM.F,"STABILUS SE INH. EO-,01",DE
SBS.F,STRATEC SE  NA O.N.,DE
SAX.F,STROEER SE + CO. KGAA,DE
SZU.F,SUEDZUCKER AG  O.N.,DE
SUR.F,SURTECO GROUP SE INH O.N.,DE
SMHN.F,SUSS MicroTec SE,DE
SY1.F,SYMRISE AG INH. O.N.,DE
SYZ.F,SYZYGY AG O.N.,DE
TEG.F,TAG IMMOBILIEN AG,DE
TTK.F,TAKKT AG O.N.,DE
TLX.F,TALANX AG NA O.N.,DE
TMV.F,TEAMVIEWER SE  INH O.N.,DE
TTR1.F,TECHNOTRANS SE NA O.N.,DE
TKA.F,THYSSENKRUPP AG O.N.,DE
NCH2.F,THYSSENKRUPP NUCERA AG & KGAA,DE
TKMS.F,TKMS AG + CO. KGAA O.N.,DE
TNIE.F,TONIES SE,LU
8TRA.F,TRATON SE   INH O.N.,DE
TUI1.F,TUI AG,DE
UN01.F,UNIPER SE  NA O.N.,DE
ULC.F,UNITED LABELS O.N.,DE
UTDI.F,UTD.INTERNET AG NA,DE
VBK.F,VERBIO SE ON,DE
VIB3.F,VILLEROY + BOCH AG VZ,DE
V6C.F,VISCOM SE,DE
VOW.F,VOLKSWAGEN AG ST O.N.,DE
VOW3.F,VOLKSWAGEN AG VZO O.N.,DE
VTAG.F,Voltatron AG,DE
VNA.F,VONOVIA SE NA O.N.,DE
VOS.F,VOSSLOH AG O.N.,DE
VUL.F,VULCAN ENERGY RESOURCES LIMITED,AU
WCH.F,WACKER CHEMIE AG O.N.,DE
WAC.F,WACKER NEUSON SE NA O.N.,DE
WSU.F,WASHTEC AG O.N.,DE
WEW.F,WESTWING GROUP  INH. O.N.,DE
WUW.F,WUESTENROT+WUERTTEMBERGISCHE AG O.N.,DE
YOC.F,YOC AG O.N.,DE
ZAL.F,ZALANDO SE,DE
TIMA.F,ZEAL NETWORK SE NA O.N.,DE
